STOP_ID,STOP_NAME,STOP_LAT,STOP_LON,LOCATION_T,PARENT_STA,TRIP_COUNT,TRIP_IDS,ROUTE_IDS,ROUTE_NAMS
"0100KHR","Kahawa Railways Roundabout",-1.186098,36.90681699999,0,"NULL",1,"1107D110","10000107D11","107D"
"0100KMU","Kwa Sukuma",-1.179068416,36.72405212999,0,"NULL",1,"10114110","10000114011","114R"
"0100KNA","Kona",-1.221391,36.779214,0,"NULL",1,"10108110","10200010811","108"
"0100KNE","Kwa Njenga",-1.220363742,36.77845537999,0,"NULL",1,"10108110","10200010811","108"
"0100KSS","Kwa Shule/Seth Home Of Love Children's Home/Muchatha Dispensary",-1.189608,36.77325299999,0,"NULL",2,"10106110 10116110","10300106011 10000116011","106 116"
"0100KTC","Quickmart",-1.206720471,36.78343892,0,"NULL",2,"10107110 10114110","10400010711 10000114011","107 114R"
"0100KWH","Kwa Chief",-1.216485232,36.82175428,0,"NULL",1,"1107D110","10000107D11","107D"
"0100LDL","Redhill",-1.169991821,36.7014733,0,"NULL",1,"10114110","10000114011","114R"
"0100LHH","Jamhuri School",-1.27250433,36.82257503,0,"NULL",1,"10114110","10000114011","114R"
"0100LIK","Likoni",-1.179095,36.760938,0,"NULL",2,"10106110 10116110","10300106011 10000116011","106 116"
"0100LMC","Limuru Catering",-1.124471,36.679689,0,"NULL",1,"10116110","10000116011","116"
"0100LPS","Limuru Post Office",-1.118464,36.643126,0,"NULL",1,"10116110","10000116011","116"
"0100LSM","Life Sanctuary/Muchatha",-1.191495,36.77522299999,0,"NULL",2,"10106110 10116110","10300106011 10000116011","106 116"
"0100..M","K.M.",-1.167726517,36.91900849,0,"NULL",1,"1107D110","10000107D11","107D"
"0100MCO","Stima Sacco",-1.272774106,36.8208611,0,"NULL",1,"10107110","10400010711","107"
"0100MCY","Mothers Mercys/GD",-1.179957,36.72540099999,0,"NULL",1,"10114110","10000114011","114R"
"0100MFB","Mifereji/God's Ability",-1.20213,36.76693,0,"NULL",2,"10107110 10114110","10400010711 10000114011","107 114R"
"0100MIS","Mary Immaculate Secondary School/Muchatha",-1.190679,36.77429699999,0,"NULL",2,"10106110 10116110","10300106011 10000116011","106 116"
"0100MOM","Mombasa",-1.17786,36.760345,0,"NULL",2,"10106110 10116110","10300106011 10000116011","106 116"
"0100MOU","Mugumo",-1.209636211,36.79986476999,0,"NULL",1,"1107D110","10000107D11","107D"
"0100MRB","Maramba Tea Factory",-1.134476,36.703498,0,"NULL",1,"10116110","10000116011","116"
"0100MRC","Movers/Rosslyn Centre",-1.210947633,36.79020881999,0,"NULL",5,"10106110 10107110 10114110 10116110 1011F110","10300106011 10400010711 10000114011 10000116011 10300011F11","106 107 114R 116 11B"
"0100NAM","National Oil/Muchatha",-1.193428,36.777892,0,"NULL",2,"10106110 10116110","10300106011 10000116011","106 116"
"0100NCE","Container",-1.20452258,36.77553981999,0,"NULL",1,"10114110","10000114011","114R"
"0100NDT","Ndenderu Junction",-1.19233,36.74369999999,0,"NULL",2,"10107110 10114110","10400010711 10000114011","107 114R"
"0100NJT","Kwa Njoki/Thimbigwa Ack",-1.183852,36.76368399999,0,"NULL",2,"10106110 10116110","10300106011 10000116011","106 116"
"0100NKD","Ndenderu Kwa Maduka",-1.19449,36.75061,0,"NULL",1,"10107110","10400010711","107"
"0100NMT","New Muthaiga",-1.228621,36.798616,0,"NULL",1,"10108110","10200010811","108"
"0100NRP","Round About Eastern Bypass",-1.155235,36.926119,0,"NULL",1,"1107D110","10000107D11","107D"
"0100NSO","Movers",-1.210058659,36.7891708,0,"NULL",2,"10106110 10107110","10300106011 10400010711","106 107"
"0100ONO","Ngomongo",-1.202822059,36.89014524,0,"NULL",1,"1107D110","10000107D11","107D"
"0100OOA","Kwa Soko",-1.149789423,36.94882928999,0,"NULL",1,"1107D110","10000107D11","107D"
"0100OTN","Hilton",-1.150637001,36.94259048,0,"NULL",1,"1107D110","10000107D11","107D"
"0100OTS","Posta",-1.170669078,36.70802592999,0,"NULL",1,"10114110","10000114011","114R"
"0100PEF","Pefa/All Nations/Muchatha",-1.197129,36.782933,0,"NULL",2,"10106110 10116110","10300106011 10000116011","106 116"
"0100PNA","Amani Plaza",-1.259625882,36.81713551,0,"NULL",1,"1011A110","10100011A11","11A"
"0100POA","Pa Mutoori",-1.202194422,36.76717132,0,"NULL",1,"10114110","10000114011","114R"
"0100POW","Power",-1.21731,36.77825299999,0,"NULL",1,"10108110","10200010811","108"
"0100PSA","La Philla Carwash",-1.190634102,36.90608829,0,"NULL",1,"1107D110","10000107D11","107D"
"0100RBJ","Ruaka/Banana Junction/Tuskys Supermarket",-1.20722,36.78602,0,"NULL",5,"10106110 10107110 10114110 10116110 1011F110","10300106011 10400010711 10000114011 10000116011 10300011F11","106 107 114R 116 11B"
"0100RCN","Ruaka Catholic Church Entrance",-1.20614,36.78058999999,0,"NULL",2,"10107110 10114110","10400010711 10000114011","107 114R"
"0100REE","PCEA Ndenderu",-1.195537216,36.75203024999,0,"NULL",1,"10107110","10400010711","107"
"0100RES","Runda Estate Entrance",-1.21873,36.80176999999,0,"NULL",5,"10106110 10107110 10114110 10116110 1011F110","10300106011 10400010711 10000114011 10000116011 10300011F11","106 107 114R 116 11B"
"0100RGH","Jamhuri High School",-1.272203922,36.82239531999,0,"NULL",3,"10107110 1011A110 1011F110","10400010711 10100011A11 10300011F11","107 11A 11B"
"0100RJI","Ruiru Road Junction",-1.152105331,36.91994189999,0,"NULL",1,"1107D110","10000107D11","107D"
"0100RKH","Runda/Karura Carwash",-1.22091,36.80143999999,0,"NULL",5,"10106110 10107110 10114110 10116110 1011F110","10300106011 10400010711 10000114011 10000116011 10300011F11","106 107 114R 116 11B"
"0100RRD","Ruaka Redeemed Gospel Church",-1.20651,36.78206,0,"NULL",2,"10107110 10114110","10400010711 10000114011","107 114R"
"0100RRJ","Redhill Road Junction",-1.23398,36.80339,0,"NULL",5,"10106110 10107110 10114110 10116110 1011F110","10300106011 10400010711 10000114011 10000116011 10300011F11","106 107 114R 116 11B"
"0100RRP","Rosslyn Road/Karura Community Chapel",-1.216397882,36.79927468,0,"NULL",5,"10106110 10107110 10114110 10116110 1011F110","10300106011 10400010711 10000114011 10000116011 10300011F11","106 107 114R 116 11B"
"0100RUD","Runda Road",-1.215553,36.814957,0,"NULL",1,"1107D110","10000107D11","107D"
"0100RUI","Marurui/JuaKali",-1.211281747,36.87443823,0,"NULL",1,"1107D110","10000107D11","107D"
"0100RYA","Rumenye",-1.199644804,36.75815105,0,"NULL",2,"10107110 10114110","10400010711 10000114011","107 114R"
"0100SAR","Car Wash",-1.217005616,36.77721083,0,"NULL",1,"10108110","10200010811","108"
"0100SHT","Sacred Heart",-1.186278,36.767456,0,"NULL",2,"10106110 10116110","10300106011 10000116011","106 116"
"0100SKU","Kibutu Stage",-1.188273758,36.77131802,0,"NULL",1,"10116110","10000116011","116"
"0100SLG","Slaughter/Bypass",-1.20578,36.78005,0,"NULL",2,"10107110 10114110","10400010711 10000114011","107 114R"
"0100SNW","Good News/Nyari Gate 2",-1.225479841,36.79151773,0,"NULL",1,"10108110","10200010811","108"
"0100S/R","Rosslyn Road/Riviera",-1.217128962,36.80043072,0,"NULL",1,"10114110","10000114011","114R"
"0100STI","Site",-1.178033084,36.72245889999,0,"NULL",1,"10114110","10000114011","114R"
"0100T1I","Barrier 1/Nyari Gate 1",-1.226568818,36.79569392999,0,"NULL",1,"10108110","10200010811","108"
"0100TCP","Total/City Park",-1.25943,36.82672999999,0,"NULL",5,"10106110 10107110 10114110 10116110 1011F110","10300106011 10400010711 10000114011 10000116011 10300011F11","106 107 114R 116 11B"
"0100TIG","Tigoni",-1.126686,36.67178799999,0,"NULL",1,"10116110","10000116011","116"
"0100TOR","Metro",-1.215183198,36.85956537999,0,"NULL",1,"1107D110","10000107D11","107D"
"0100TPS","Post",-1.149687499,36.94552481,0,"NULL",1,"1107D110","10000107D11","107D"
"0100TTM","Total/Muchatha",-1.193078,36.777371,0,"NULL",2,"10106110 10116110","10300106011 10000116011","106 116"
"0100UBP","Bumps",-1.206464499,36.78183763999,0,"NULL",1,"10114110","10000114011","114R"
"0100UEA","Delta Petrol Station Ruaka/Border",-1.208792657,36.78792625999,0,"NULL",1,"10114110","10000114011","114R"
"0100UMA","Munata",-1.220374471,36.76839172999,0,"NULL",1,"10108110","10200010811","108"
"0100UMT","Makutano",-1.192345351,36.74523084999,0,"NULL",1,"10114110","10000114011","114R"
"0100VDA","Victory Gospel/Sda",-1.19432,36.74289999999,0,"NULL",1,"10107110","10400010711","107"
"0100VEV","Velvet Lounge/Kigwaru",-1.202782,36.785553,0,"NULL",2,"10106110 10116110","10300106011 10000116011","106 116"
"0100VIN","Victory Inn",-1.181773,36.76247599999,0,"NULL",2,"10106110 10116110","10300106011 10000116011","106 116"
"0100VLU","6th Parklands Avenue/Regal House/Kobil",-1.257893175,36.8269524,0,"NULL",2,"10107110 10114110","10400010711 10000114011","107 114R"
"0100WSI","Nyari West",-1.225469112,36.78594946999,0,"NULL",1,"10108110","10200010811","108"
"0100XAM","Maxx",-1.182002753,36.72858506,0,"NULL",1,"10114110","10000114011","114R"
"0101AGA","Aga Khan Academy",-1.26628,36.82330999999,0,"NULL",6,"10106111 10107111 10114111 10116111 1011A111 1011F111","10300106011 10400010711 10000114011 10000116011 10100011A11 10300011F11","106 107 114R 116 11A 11B"
"0101AKE","Aga Khan Entrance",-1.26178,36.82224,0,"NULL",1,"1011A111","10100011A11","11A"
"0101AKH","Aga Khan Hospital Junction/3rd Parklands Ave",-1.26288,36.8249,0,"NULL",1,"1011A111","10100011A11","11A"
"0101AKN","Kwa Nyama",-1.204490429,36.78601920999,0,"NULL",1,"1107D111","10000107D11","107D"
"0101ALM","Amani Plaza/Almond Court",-1.25962,36.81716999999,0,"NULL",1,"1011A111","10100011A11","11A"
"0101AME","Ambassadors Entrance",-1.19804,36.75538,0,"NULL",2,"10107111 10114111","10400010711 10000114011","107 114R"
"0101ARA","Garage",-1.222203738,36.78044557999,0,"NULL",1,"10108111","10200010811","108"
"0101ARC","Car Wash",-1.204839116,36.78251624,0,"NULL",1,"1107D111","10000107D11","107D"
"0101ARR","Nish Raaj/Mulberry",-1.257580519,36.81246042,0,"NULL",1,"1011A111","10100011A11","11A"
"0101ARY","Arya Girls' Secondary School",-1.26085,36.82007,0,"NULL",1,"1011A111","10100011A11","11A"
"0101BKH","Bypass Stage Kiambu",-1.215448,36.83520999999,0,"NULL",1,"1107D111","10000107D11","107D"
"0101BLU","Blue Kiosk Stage",-1.154688,36.67568099999,0,"NULL",1,"10114111","10000114011","114R"
